sentimen,tweet,_exclaim,_question,_upper_rt,tweet_pp
negatif,"Kata @prabowo Indonesia tidak dihargai bangsa asing!   Berita ini ðŸ‘‡ pasti hoax buatan penguasa, ya kan @rockygerung?ðŸ˜œ https://twitter.com/mediaindonesia/status/1117575436337160192?s=21Â â€¦",1,2,0.03076923076923077,prabowo indonesia tidak dihargai bangsa asing berita hoax buatan penguasa ya rockygerung ?
netral,"Batuan Langka, Tasbih Jokowi Hadiah dari Habib Luthfi Seharga Mercy?  http://dlvr.it/R2pvZVÂ ",0,1,0.13978494623655913,batuan langka hadiah habib luthfi seharga mercy ?
netral,"Di era Jokowi, ekonomi Indonesia semakin baik. #01IndonesiaMaju #JokowiLagi #JokowiMenangTotalDebat pic.twitter.com/W2ythnxsTp",0,0,0.10317460317460317,era indonesia baik indonesiamaju jokowilagi
positif,"Bagi Sumatera Selatan, Asian Games berdampak pd ekonomi langsung diprediksi mencapai 18,5 triliun. Indonesia maju, Jokowi hebat!",1,0,0.0546875,sumatera selatan asian games berdampak percaya langsung diprediksi mencapai triliun indonesia maju hebat
negatif,"Negara kita ngutang buat bngun infrastruktur yang udah dipake masyarakat, terus masyarakatnya ngeluh karena negara ngutang, setiap negara itu pasti ngutang,  utang bisa dibayar kalo negara dapet penghasilan. Penghasilan negara itu ya dari pajak",0,0,0.00819672131147541,negara ngutang bingung infrastruktur dipakai masyarakat terus masyarakatnya ngeluh negara ngutang negara ngutang utang dibayar kalo negara penghasilan penghasilan negara ya pajak
netral,"Yg bisikin pak jokowi, cm mikirin perputaran duit di golongan tertentu. E-Sports hanya sebagian kecil dr sekian besar penentu pertumbuhan perekonomian Indonesia, bukan hal fundamental. Betul yg dikatakan prabowo, walau dgn bhs yg sederhana, tp mrpkan aspek fundamental ekonomi",0,0,0.018115942028985508,bikin memikirkan perputaran duit golongan sport sekian penentu pertumbuhan perekonomian indonesia bukan fundamental prabowo dgn bahasa sederhana aspek fundamental
positif,Masa tenang msih ngoceh aja..ttp jokowi harga mati...,0,0,0.018867924528301886,tenang msih mengoceh ajattp harga mati
positif,"#UASdifitnahKejiBalasDiTPS   kerjasa ekonomi bilateral, multilateral kita doakan di TPS sambil dengarkan suara hati...  #UASdifitnahKejiBalasDiTPS",0,0,0.14383561643835616,uasdifitnahkejibalasditps kerjasama bilateral multilateral doakan tps dengarkan suara hati uasdifitnahkejibalasditps
netral,"Iya bener Aa, kita MANTAP kan pilihan ke Pemimpin yg bs memberi Solusi @jokowi bukan yg menyalahkan pemimpin sebelumnya @SBYudhoyono dismash sm mas Bowo, percuma koalisi klau mengantam tmn koalisi ðŸ˜‚ & yg plg penting pilih Pemimpin yg Rajin Ibadah Wajib, Bisa NGAJI & JumatanðŸ™ðŸ‘",0,0,0.09824561403508772,iya mantap pilihan pemimpin solusi bukan menyalahkan pemimpin yudhoyono dimas mas bowo koalisi menghantam tmn koalisi plg pilih pemimpin rajin ibadah wajib mengaji jumatan
negatif,Prabowo-Sandi Sepakat Tak Ambil Gaji karena Negara Sedang Susah  https://www.goaceh.co/artikel/serbaserbi/2019/04/14/prabowosandi-sepakat-tak-ambil-gaji-karena-negara-sedang-susah/?utm_source=dlvr.it&utm_medium=twitterÂ â€¦ .. ... #GoAceh,0,1,0.05042016806722689,prabowosandi sepakat ambil gaji negara susah aceh
